icao24,origin_country,velocity,on_ground
4bc843,Turkey,133.01,False
3c664c,Germany,1.29,True
4bc841,Turkey,217.11,False
4401dc,Austria,0.0,True
861ede,Japan,255.49,False
408170,United Kingdom,135.2,False
40815b,United Kingdom,239.69,False
3c6653,Germany,230.69,False
4401f7,Austria,222.59,False
3c7981,Germany,244.36,False
4bc88c,Turkey,206.96,False
4bc88d,Turkey,207.37,False
4bc88b,Turkey,221.34,False
a582f9,United States,188.82,False
3ffad5,Germany,55.15,False
4bc896,Turkey,186.64,False
a07a72,United States,50.93,False
8638b0,Japan,7.72,True
c06a38,Canada,232.97,False
a8e52e,United States,242.04,False
aa4587,United States,131.28,False
a51b93,United States,152.67,False
8518ae,Japan,187.7,False
aa457b,United States,161.08,False
4bc88e,Turkey,3.64,False
8518d0,Japan,207.14,False
39d304,France,152.65,False
80171a,India,231.66,False
39d309,France,223.54,False
39d300,France,11.83,True
39d302,France,238.24,False
4009db,United Kingdom,7.72,True
e49295,Brazil,227.7,False
4009da,United Kingdom,199.1,False
a6f2b7,United States,156.74,False
344514,Spain,3.34,True
861eb4,Japan,208.73,False
a031bd,United States,147.26,False
4009cd,United Kingdom,0.06,True
7103d8,Saudi Arabia,251.27,False
4bc882,Turkey,238.25,False
ac48ac,United States,138.83,False
344501,Spain,217.89,False
aa92c2,United States,194.43,False
702033,Bangladesh,286.68,False
a11791,United States,66.89,False
e4a5eb,Brazil,74.54,False
a3572c,United States,266.33,False
4bc889,Turkey,138.03,False
4787a0,Norway,236.25,False
4bc885,Turkey,213.45,False
a19a48,United States,224.88,False
4bc894,Turkey,242.8,False
4bc893,Turkey,215.79,False
4bb562,Turkey,111.55,False
a1c7e4,United States,238.05,False
73806e,Israel,253.59,False
a11f9d,United States,140.62,False
73806d,Israel,237.66,False
44008f,Austria,267.3,False
73806c,Israel,249.89,False
3c6469,Germany,222.54,False
73806b,Israel,221.36,False
a36661,United States,278.69,False
403bc5,United Kingdom,34.28,False
8960b4,United Arab Emirates,272.61,False
73806f,Israel,234.2,False
801878,India,0.0,True
a72f22,United States,255.38,False
e49e08,Brazil,85.13,False
400877,United Kingdom,128.06,False
a6d9c3,United States,0.0,False
80053f,India,199.94,False
3c6467,Germany,10.8,True
80187b,India,188.19,False
44007c,Austria,221.19,False
a58c29,United States,0.0,True
4a91fa,Sweden,222.5,False
a47303,United States,0.0,True
4b5d9f,Switzerland,2.06,True
440096,Austria,240.61,False
4b5d9e,Switzerland,0.0,True
4068f5,United Kingdom,253.79,False
7820b6,China,87.7,False
7820b5,China,211.69,False
a1cffd,United States,226.85,False
a449f1,United States,105.91,False
a2f6d0,United States,0.0,True
7c6d78,Australia,209.9,False
4b5d9b,Switzerland,0.06,True
4b5d9c,Switzerland,0.0,True
7c6d75,Australia,8.75,True
a0b6f5,United States,6.59,False
80184b,India,255.11,False
3d6a4b,Germany,136.97,False
a0b6ea,United States,218.96,False
a58c35,United States,198.08,False
738065,Israel,189.77,False
738062,Israel,222.24,False
738068,Israel,238.92,False
7583e4,Philippines,177.23,False
3c6489,Germany,247.45,False
44009e,Austria,241.74,False
80052d,India,69.0,False
3c648e,Germany,228.15,False
3c648f,Germany,200.08,False
4bad8e,Turkey,220.2,False
0d0e5a,Mexico,0.0,True
3c6495,Germany,238.71,False
3c6494,Germany,228.04,False
80185f,India,211.42,False
73806a,Israel,270.11,False
4bb46f,Turkey,246.84,False
3c6427,Germany,228.57,False
4b2947,Switzerland,59.66,False
45202e,Bulgaria,217.58,False
440c9c,Austria,57.14,False
3c4a05,Germany,225.34,False
3c4a04,Germany,150.3,False
abd7d1,United States,229.78,False
a410b3,United States,0.0,True
44004f,Austria,259.41,False
