date,open,high,low,close,volume,day,month,year,day_name,month_name,daily_return_pct,intraday_volatility_pct
2003-08-01,83.67,83.7,80.05,81.27,34886500,1,8,2003,Friday,August,-2.868411617067056,4.362376000956144
2003-08-08,80.75,81.36,78.73,80.88,30290600,8,8,2003,Friday,August,0.16099071207429777,3.25696594427244
2003-08-15,80.87,82.19,80.28,81.79,22220100,15,8,2003,Friday,August,1.137628292321011,2.361815259057743
2003-08-22,82.05,84.72,81.9,82.97,30615500,22,8,2003,Friday,August,1.121267519804999,3.4369287020109605
2003-08-29,82.85,83.03,81.27,82.01,24293600,29,8,2003,Friday,August,-1.0138805069402406,2.1243210621605373
2003-09-05,82.4,88.29,82.3,86.95,41027800,5,9,2003,Friday,September,5.521844660194171,7.269417475728165
2003-09-12,88.45,89.97,86.4,88.7,41601200,12,9,2003,Friday,September,0.2826455624646693,4.03617863199547
2003-09-19,89.7,93.47,88.39,93.28,42039300,19,9,2003,Friday,September,3.9910813823857283,5.663322185061313
2003-09-26,92.24,92.24,89.0,89.05,34494900,26,9,2003,Friday,September,-3.4583694709453576,3.5125758889852503
2003-10-03,89.25,91.95,87.9,90.64,35612700,3,10,2003,Friday,October,1.5574229691876758,4.537815126050417
2003-10-10,90.74,93.6,90.4,92.67,27727600,10,10,2003,Friday,October,2.126956138417464,3.5265594004848895
2003-10-17,93.1,94.54,88.66,89.23,47597600,17,10,2003,Friday,October,-4.156820622986027,6.315789473684222
2003-10-24,89.35,89.4,87.53,88.42,29376600,24,10,2003,Friday,October,-1.0408505875769363,2.092893116955797
2003-10-31,88.8,90.71,88.05,89.48,28610800,31,10,2003,Friday,October,0.7657657657657735,2.9954954954954918
2003-11-07,89.9,90.84,87.72,88.26,28479700,7,11,2003,Friday,November,-1.8242491657397113,3.4705228031145765
2003-11-14,89.55,91.48,88.89,90.25,28880700,14,11,2003,Friday,November,0.7816862088218903,2.8922389726409867
2003-11-21,89.9,90.18,88.23,88.63,25235500,21,11,2003,Friday,November,-1.4126807563960069,2.1690767519466103
2003-11-28,89.03,90.68,88.95,90.54,15370200,28,11,2003,Friday,November,1.6960575087049365,1.9431652252049916
2003-12-05,90.9,91.48,90.03,90.64,27735300,5,12,2003,Friday,December,-0.28602860286029164,1.5951595159515983
2003-12-12,90.52,93.16,90.52,92.71,30943400,12,12,2003,Friday,December,2.419354838709675,2.9164825452938583
2003-12-19,93.43,94.12,91.88,93.14,33482600,19,12,2003,Friday,December,-0.31039280744943404,2.397516857540414
2003-12-26,92.83,93.5,92.18,92.9,11178100,26,12,2003,Friday,December,0.07540665733061229,1.4219541096628172
2004-01-02,93.1,93.73,91.2,91.55,18092000,2,1,2004,Friday,January,-1.6648764769065492,2.717508055853922
2004-01-09,92.0,93.38,91.0,91.21,28694600,9,1,2004,Friday,January,-0.8586956521739199,2.5869565217391255
2004-01-16,91.21,95.65,89.01,95.32,48592000,16,1,2004,Friday,January,4.506084859116324,7.27990351935095
2004-01-23,96.0,98.21,95.73,97.9,25889600,23,1,2004,Friday,January,1.9791666666666725,2.5833333333333224
2004-01-30,97.9,99.85,96.55,99.23,30864500,30,1,2004,Friday,January,1.3585291113380982,3.3707865168539297
2004-02-06,99.15,100.43,98.25,98.94,31683700,6,2,2004,Friday,February,-0.21180030257186883,2.1986888552698
2004-02-13,99.31,100.31,98.41,99.71,20479500,13,2,2004,Friday,February,0.40277917631657584,1.9132010875037817
2004-02-20,99.99,100.0,97.19,97.31,19898100,20,2,2004,Friday,February,-2.6802680268026733,2.8102810281028128
2004-02-27,97.4,97.51,95.2,96.5,25680600,27,2,2004,Friday,February,-0.9240246406570899,2.3716632443531847
2004-03-05,96.5,97.6,95.56,96.45,21755500,5,3,2004,Friday,March,-0.051813471502587735,2.1139896373056914
2004-03-12,96.49,96.88,91.15,93.3,32862500,12,3,2004,Friday,March,-3.3060420768991587,5.938439216499109
2004-03-19,92.6,93.79,90.88,91.62,27477500,19,3,2004,Friday,March,-1.0583153347732073,3.1425485961123227
2004-03-26,91.27,93.25,90.28,92.77,27482700,26,3,2004,Friday,March,1.6434754026514737,3.2540812972499165
2004-04-02,92.99,94.55,91.35,94.2,25046900,2,4,2004,Friday,April,1.3012151844284419,3.4412302398107357
2004-04-08,93.95,94.39,92.51,93.12,16201400,8,4,2004,Thursday,April,-0.8834486428951552,2.0010643959552903
2004-04-16,93.5,94.36,91.04,92.28,31404700,16,4,2004,Friday,April,-1.3048128342245977,3.550802139037426
2004-04-23,91.9,92.48,89.7,91.28,26094200,23,4,2004,Friday,April,-0.6746463547334108,3.025027203482047
2004-04-30,90.75,91.99,88.01,88.17,26790300,30,4,2004,Friday,April,-2.8429752066115683,4.385674931129465
2004-05-07,88.13,89.75,87.2012,88.19,25650700,7,5,2004,Friday,May,0.068081243617386,2.8920912288664473
2004-05-14,87.6,88.15,85.12,86.41,31619400,14,5,2004,Friday,May,-1.3584474885844724,3.4589041095890427
2004-05-21,85.3,88.88,85.15,87.13,26694400,21,5,2004,Friday,May,2.145369284876903,4.372801875732697
2004-05-28,87.75,89.08,86.55,88.59,20742800,28,5,2004,Friday,May,0.9572649572649611,2.8831908831908843
2004-06-04,88.09,88.64,87.3,87.56,15611800,4,6,2004,Friday,June,-0.6016573958451596,1.5211715291179513
2004-06-10,88.75,90.75,88.01,90.46,18366900,10,6,2004,Thursday,June,1.9267605633802747,3.087323943661966
